CodeProduit,NomProduit,PrixtTTC,CodeCategorie,EnStock(O/N)
31,1l Jus Pom. Brt,"1,78",1,O
34,2kg orange jus,"3,49",1,O
35,"1,5kg orange esp","2,25",1,N
37,Baguette Rust,"0,9",1,O
39,Bsc Ptt Lycéen,"2,45",1,O
40,Bsc Dino,289,1,N
44,Dent. TpWhite,"1,09",2,O
47,Galette rois,"7,5",1,O
50,Lave glace E 5l,2,1,N
51,Huile 5W30 3l,"15,95",2,O
54,Lave glace H 5l,"2,5",1,O
59,Mgrt Canard,"7,52",1,O
61,N&N’S 250g,"3,49",1,O
70,Pain épice miel,"2,12",1,O
71,Semoule Kebab,"2,94",1,O
83,Buche citron,"9,42",1,O
